Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,league
08/12/2018,Espanol,Barcelona,0,4,A,15,17,3,9,16,10,11,4,1,0,0,0,LL
08/12/2018,Valencia,Sevilla,1,1,D,16,11,6,3,13,17,6,4,0,4,0,0,LL
08/12/2018,Villarreal,Celta,2,3,A,13,14,3,7,12,10,6,1,3,3,0,0,LL
09/12/2018,Betis,Vallecano,2,0,H,8,12,3,3,13,20,2,9,2,3,0,0,LL
09/12/2018,Eibar,Levante,4,4,D,32,14,7,5,11,7,12,3,2,2,0,0,LL
09/12/2018,Huesca,Real Madrid,0,1,A,11,5,4,4,12,10,11,6,2,2,0,0,LL
09/12/2018,Sociedad,Valladolid,1,2,A,23,10,5,6,9,16,11,6,2,2,0,0,LL
10/12/2018,Ath Bilbao,Girona,1,0,H,25,3,10,1,17,15,11,0,3,1,0,0,LL
14/12/2018,Celta,Leganes,0,0,D,15,5,2,2,11,11,10,0,3,3,0,0,LL
15/12/2018,Eibar,Valencia,1,1,D,18,11,6,4,11,15,4,2,0,1,0,0,LL
15/12/2018,Getafe,Sociedad,1,0,H,9,9,2,4,24,14,2,3,3,4,0,0,LL
15/12/2018,Real Madrid,Vallecano,1,0,H,9,11,4,3,15,18,4,4,0,3,0,0,LL
15/12/2018,Valladolid,Ath Madrid,2,3,A,8,14,2,5,16,13,9,3,4,1,0,0,LL
16/12/2018,Espanol,Betis,1,3,A,10,12,3,5,23,10,0,4,3,4,0,0,LL
16/12/2018,Huesca,Villarreal,2,2,D,30,10,13,5,12,11,13,2,4,5,0,1,LL
16/12/2018,Levante,Barcelona,0,5,A,20,16,6,9,12,9,15,3,2,3,1,0,LL
16/12/2018,Sevilla,Girona,2,0,H,17,8,5,2,18,12,5,3,2,1,0,0,LL
17/12/2018,Alaves,Ath Bilbao,0,0,D,11,6,2,3,16,13,5,3,2,2,0,0,LL
