Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,league
01/12/2021,20:00,Rennes,Lille,1,2,A,10,6,2,2,12,12,3,1,2,1,0,0,Ligue1
04/12/2021,16:00,Marseille,Brest,1,2,A,16,9,4,4,10,7,5,0,1,2,0,0,Ligue1
04/12/2021,18:00,Lille,Troyes,2,1,H,13,7,4,3,11,9,8,6,3,4,0,0,Ligue1
04/12/2021,20:00,Lens,Paris SG,1,1,D,18,13,7,6,12,9,8,5,2,2,0,0,Ligue1
05/12/2021,12:00,St Etienne,Rennes,0,5,A,12,18,2,10,10,7,7,2,1,0,0,0,Ligue1
05/12/2021,14:00,Lorient,Nantes,0,1,A,17,5,2,1,8,13,8,3,1,3,0,0,Ligue1
05/12/2021,14:00,Monaco,Metz,4,0,H,8,6,5,0,13,13,5,4,1,2,0,0,Ligue1
05/12/2021,14:00,Montpellier,Clermont,1,0,H,8,10,2,3,19,15,1,3,3,3,0,1,Ligue1
05/12/2021,14:00,Reims,Angers,1,2,A,5,13,2,4,8,13,7,4,4,3,1,0,Ligue1
05/12/2021,16:00,Nice,Strasbourg,0,3,A,12,15,5,5,9,14,9,4,3,3,0,0,Ligue1
05/12/2021,19:45,Bordeaux,Lyon,2,2,D,12,19,5,5,11,9,3,8,0,0,0,0,Ligue1
10/12/2021,20:00,Nantes,Lens,3,2,H,15,4,5,2,10,10,8,2,3,3,0,0,Ligue1
11/12/2021,16:00,Brest,Montpellier,0,4,A,17,9,6,4,16,6,8,2,2,1,0,0,Ligue1
11/12/2021,20:00,Reims,St Etienne,2,0,H,17,4,6,0,19,16,11,5,2,2,0,1,Ligue1
12/12/2021,12:00,Lille,Lyon,0,0,D,14,13,2,2,11,15,4,3,2,6,0,0,Ligue1
12/12/2021,14:00,Angers,Clermont,0,1,A,12,17,3,3,8,12,8,3,1,2,0,0,Ligue1
12/12/2021,14:00,Metz,Lorient,4,1,H,5,17,3,6,10,8,3,8,2,2,0,0,Ligue1
12/12/2021,14:00,Rennes,Nice,1,2,A,20,7,8,3,10,11,11,6,1,4,0,0,Ligue1
12/12/2021,14:00,Troyes,Bordeaux,1,2,A,21,8,3,4,11,15,8,1,3,3,0,0,Ligue1
12/12/2021,16:00,Strasbourg,Marseille,0,2,A,11,8,3,3,10,12,8,3,2,1,0,0,Ligue1
12/12/2021,19:45,Paris SG,Monaco,2,0,H,9,13,2,3,8,15,1,6,3,4,0,0,Ligue1
22/12/2021,20:00,Bordeaux,Lille,2,3,A,12,12,3,3,10,7,5,6,1,3,0,0,Ligue1
22/12/2021,20:00,Lorient,Paris SG,1,1,D,17,17,5,4,6,8,6,8,1,3,0,1,Ligue1
22/12/2021,20:00,Lyon,Metz,1,1,D,18,6,6,2,12,19,13,2,2,3,0,0,Ligue1
22/12/2021,20:00,Marseille,Reims,1,1,D,14,7,5,2,12,6,7,4,4,4,1,1,Ligue1
22/12/2021,20:00,Monaco,Rennes,2,1,H,11,16,3,6,11,9,7,5,2,1,0,0,Ligue1
22/12/2021,20:00,Montpellier,Angers,4,1,H,9,13,6,6,13,13,1,6,1,1,0,0,Ligue1
22/12/2021,20:00,Nice,Lens,2,1,H,9,8,3,4,7,9,5,4,0,2,0,0,Ligue1
22/12/2021,20:00,St Etienne,Nantes,0,1,A,13,8,6,3,13,12,5,4,1,1,0,0,Ligue1
22/12/2021,20:00,Troyes,Brest,1,1,D,15,8,4,2,16,10,9,0,4,1,1,0,Ligue1
07/01/2022,20:00,Bordeaux,Marseille,0,1,A,6,18,2,6,13,7,3,9,1,1,0,0,Ligue1
08/01/2022,20:00,Lens,Rennes,1,0,H,11,5,4,0,5,6,12,1,1,1,0,0,Ligue1
09/01/2022,12:00,Brest,Nice,0,3,A,26,9,10,4,5,11,14,3,0,3,0,1,Ligue1
09/01/2022,14:00,Clermont,Reims,0,0,D,12,7,7,2,13,24,6,2,1,3,1,0,Ligue1
09/01/2022,14:00,Metz,Strasbourg,0,2,A,7,19,1,7,11,6,4,3,1,1,0,0,Ligue1
09/01/2022,16:05,Nantes,Monaco,0,0,D,8,9,4,1,17,12,5,2,1,2,0,0,Ligue1
09/01/2022,19:45,Lyon,Paris SG,1,1,D,11,15,4,3,18,13,2,7,2,2,0,0,Ligue1
14/01/2022,20:00,Nice,Nantes,2,1,H,13,11,5,3,8,17,3,5,2,1,0,0,Ligue1
15/01/2022,16:00,St Etienne,Lens,1,2,A,13,14,4,4,9,13,6,6,1,1,0,0,Ligue1
15/01/2022,20:00,Paris SG,Brest,2,0,H,20,6,9,3,10,8,9,6,5,3,0,0,Ligue1
16/01/2022,12:00,Rennes,Bordeaux,6,0,H,19,5,11,1,9,9,9,1,1,5,0,1,Ligue1
16/01/2022,14:00,Lorient,Angers,0,0,D,14,5,4,0,12,9,6,1,3,1,0,1,Ligue1
16/01/2022,14:00,Monaco,Clermont,4,0,H,20,6,10,1,9,10,6,1,0,1,0,0,Ligue1
16/01/2022,14:00,Reims,Metz,0,1,A,14,17,2,5,14,16,11,4,4,4,0,0,Ligue1
16/01/2022,14:00,Strasbourg,Montpellier,3,1,H,19,9,8,5,18,9,7,3,2,2,0,1,Ligue1
16/01/2022,16:05,Troyes,Lyon,0,1,A,6,19,2,8,9,12,4,7,2,1,0,0,Ligue1
16/01/2022,19:45,Marseille,Lille,1,1,D,22,5,7,4,11,11,15,2,1,5,0,1,Ligue1
19/01/2022,18:00,Clermont,Strasbourg,0,2,A,7,15,1,5,8,11,6,4,2,0,0,0,Ligue1
19/01/2022,18:00,Lille,Lorient,3,1,H,13,18,5,5,8,11,4,2,0,0,0,0,Ligue1
19/01/2022,18:00,Montpellier,Troyes,0,1,A,11,13,2,5,12,10,5,4,5,1,1,0,Ligue1
21/01/2022,20:00,Lyon,St Etienne,1,0,H,11,4,4,1,15,17,2,2,1,4,0,0,Ligue1
22/01/2022,16:00,Brest,Lille,2,0,H,9,17,3,5,7,10,5,10,2,3,0,0,Ligue1
22/01/2022,20:00,Lens,Marseille,0,2,A,9,10,3,7,7,6,8,5,3,2,0,0,Ligue1
23/01/2022,12:00,Metz,Nice,0,2,A,8,7,1,6,14,6,3,4,3,1,0,0,Ligue1
23/01/2022,14:00,Angers,Troyes,2,1,H,10,11,3,6,16,21,3,3,1,3,0,0,Ligue1
23/01/2022,14:00,Bordeaux,Strasbourg,4,3,H,13,18,6,6,11,11,1,3,5,2,0,0,Ligue1
23/01/2022,14:00,Clermont,Rennes,2,1,H,12,13,4,4,9,17,4,6,2,3,0,0,Ligue1
23/01/2022,14:00,Nantes,Lorient,4,2,H,12,15,8,6,12,10,7,6,3,0,0,0,Ligue1
23/01/2022,16:05,Montpellier,Monaco,3,2,H,15,17,7,7,10,10,5,10,2,2,0,0,Ligue1
23/01/2022,19:45,Paris SG,Reims,4,0,H,22,7,8,3,6,10,14,0,0,1,0,0,Ligue1
26/01/2022,18:00,Angers,St Etienne,0,1,A,7,8,4,5,7,13,3,1,1,1,0,0,Ligue1
01/02/2022,20:00,Lyon,Marseille,2,1,H,12,9,4,1,8,8,4,6,0,0,0,0,Ligue1
04/02/2022,20:00,Marseille,Angers,5,2,H,18,4,8,2,13,13,6,2,0,3,0,0,Ligue1
05/02/2022,16:00,St Etienne,Montpellier,3,1,H,27,3,8,2,11,4,11,0,1,0,0,0,Ligue1
05/02/2022,20:00,Monaco,Lyon,2,0,H,10,19,6,5,17,14,3,4,1,2,0,0,Ligue1
06/02/2022,12:00,Lorient,Lens,2,0,H,8,8,3,0,14,11,1,4,0,3,0,0,Ligue1
06/02/2022,14:00,Nice,Clermont,0,1,A,7,14,3,5,10,9,5,3,1,1,0,0,Ligue1
06/02/2022,14:00,Reims,Bordeaux,5,0,H,16,6,7,0,5,12,7,4,0,1,0,1,Ligue1
06/02/2022,14:00,Strasbourg,Nantes,1,0,H,13,10,3,2,7,8,7,9,3,3,0,0,Ligue1
06/02/2022,14:00,Troyes,Metz,0,0,D,9,6,2,0,8,14,6,7,1,2,0,0,Ligue1
06/02/2022,16:00,Rennes,Brest,2,0,H,19,5,8,1,11,8,6,1,3,1,0,0,Ligue1
06/02/2022,19:45,Lille,Paris SG,1,5,A,10,18,5,7,19,9,4,3,2,1,0,0,Ligue1
11/02/2022,20:00,Paris SG,Rennes,1,0,H,12,13,1,1,13,10,5,3,2,1,0,0,Ligue1
12/02/2022,16:00,Montpellier,Lille,0,1,A,16,16,5,7,13,15,6,4,3,4,0,0,Ligue1
12/02/2022,20:00,Lyon,Nice,2,0,H,12,1,8,1,11,9,4,1,0,1,0,0,Ligue1
13/02/2022,12:00,Monaco,Lorient,0,0,D,15,5,4,1,18,11,11,2,3,2,0,0,Ligue1
13/02/2022,14:00,Angers,Strasbourg,0,1,A,9,8,2,2,20,11,5,3,3,1,0,0,Ligue1
13/02/2022,14:00,Brest,Troyes,5,1,H,12,5,5,2,13,11,1,5,1,1,0,0,Ligue1
13/02/2022,14:00,Clermont,St Etienne,1,2,A,9,6,3,3,16,10,6,3,4,1,0,0,Ligue1
13/02/2022,14:00,Nantes,Reims,1,0,H,11,7,3,4,17,8,5,5,1,0,0,1,Ligue1
13/02/2022,16:05,Lens,Bordeaux,3,2,H,9,10,7,4,9,7,6,2,3,2,0,0,Ligue1
