Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
07/01/2024,14:00,Torino,Napoli,3,0,H,10,10,6,3,7,10,2,5,0,2,0,1
07/01/2024,14:00,Udinese,Lazio,1,2,A,13,7,2,2,16,22,4,4,5,3,0,0
07/01/2024,17:00,Salernitana,Juventus,1,2,A,8,18,3,3,9,15,2,8,3,5,1,0
07/01/2024,19:45,Roma,Atalanta,1,1,D,16,8,6,2,14,14,6,5,1,6,0,0
13/01/2024,14:00,Genoa,Torino,0,0,D,11,6,6,0,11,11,8,4,3,2,0,0
13/01/2024,14:00,Napoli,Salernitana,2,1,H,20,6,7,2,15,10,8,3,3,2,0,0
13/01/2024,17:00,Verona,Empoli,2,1,H,12,14,7,1,20,17,5,9,4,3,1,0
13/01/2024,19:45,Monza,Inter,1,5,A,9,20,2,7,6,12,4,5,2,2,0,0
14/01/2024,11:30,Lazio,Lecce,1,0,H,8,11,2,3,14,12,2,5,4,4,0,0
14/01/2024,14:00,Cagliari,Bologna,2,1,H,4,11,2,4,12,8,2,5,3,2,0,0
14/01/2024,17:00,Fiorentina,Udinese,2,2,D,10,12,3,6,14,13,4,4,1,1,0,0
14/01/2024,19:45,Milan,Roma,3,1,H,17,12,5,5,12,9,2,5,2,3,0,0
15/01/2024,19:45,Atalanta,Frosinone,5,0,H,21,8,9,5,11,8,8,2,0,1,0,0
16/01/2024,19:45,Juventus,Sassuolo,3,0,H,12,8,5,4,9,9,5,2,0,2,0,0
20/01/2024,17:00,Roma,Verona,2,1,H,9,12,2,3,14,12,1,2,2,2,0,0
20/01/2024,19:45,Udinese,Milan,2,3,A,11,15,6,7,12,9,5,7,6,1,0,0
21/01/2024,11:30,Frosinone,Cagliari,3,1,H,17,9,7,4,11,18,8,4,3,5,0,0
21/01/2024,14:00,Empoli,Monza,3,0,H,9,15,5,5,15,10,1,7,1,3,0,0
